,PassangerId,Survived
361,1253,1
362,1254,1
363,1255,1
364,1256,1
365,1257,0
366,1258,0
367,1259,0
368,1260,1
369,1261,1
370,1262,0
371,1263,1
372,1264,0
373,1265,0
374,1266,1
375,1267,1
376,1268,0
377,1269,0
378,1270,0
379,1271,0
380,1272,0
381,1273,0
382,1274,1
383,1275,0
384,1276,0
385,1277,1
386,1278,0
387,1279,0
388,1280,0
389,1281,0
390,1282,0
391,1283,1
392,1284,0
393,1285,0
394,1286,0
395,1287,1
396,1288,0
397,1289,1
398,1290,0
399,1291,0
400,1292,1
401,1293,0
402,1294,1
403,1295,0
404,1296,0
405,1297,0
406,1298,0
407,1299,0
408,1300,1
409,1301,1
410,1302,1
411,1303,1
412,1304,0
413,1305,0
414,1306,1
415,1307,0
416,1308,0
417,1309,1
